"EST","Mean.TemperatureC","Precipitation"
"2013-1-1",1,0
"2013-1-2",-2,0
"2013-1-3",-2,0
"2013-1-4",1,0
"2013-1-5",3,0
"2013-1-6",4,0
"2013-1-7",5,0
"2013-1-8",6,0
"2013-1-9",7,0
"2013-1-10",7,0
"2013-1-11",6,13.97
"2013-1-12",7,0.51
"2013-1-13",8,0
"2013-1-14",8,2.29
"2013-1-15",3,3.05
"2013-1-16",2,17.53
"2013-1-17",4,0
"2013-1-18",-1,0
"2013-1-19",5,0
"2013-1-20",6,0
"2013-1-21",-2,0
"2013-1-22",-7,0
"2013-1-23",-9,0
"2013-1-24",-8,0
"2013-1-25",-7,1.78
"2013-1-26",-6,0
"2013-1-27",-3,0
"2013-1-28",1,5.59
"2013-1-29",6,1.52
"2013-1-30",9,1.02
"2013-1-31",8,22.86
"2013-2-1",-2,0
"2013-2-2",-4,0.51
"2013-2-3",-3,0.51
"2013-2-4",-3,0
"2013-2-5",-1,0.51
"2013-2-6",1,0
"2013-2-7",-2,0
"2013-2-8",-1,29.21
"2013-2-9",-3,9.65
"2013-2-10",-3,0
"2013-2-11",4,12.45
"2013-2-12",4,0
"2013-2-13",4,0.76
"2013-2-14",4,0
"2013-2-15",8,0
"2013-2-16",2,0.51
"2013-2-17",-4,0
"2013-2-18",-3,0
"2013-2-19",5,3.81
"2013-2-20",0,0
"2013-2-21",-2,0
"2013-2-22",0,0
"2013-2-23",4,6.6
"2013-2-24",5,0.25
"2013-2-25",4,0
"2013-2-26",4,3.56
"2013-2-27",6,39.62
"2013-2-28",7,0
"2013-3-1",5,0
"2013-3-2",2,0
"2013-3-3",2,0
"2013-3-4",2,0
"2013-3-5",4,0
"2013-3-6",4,0
"2013-3-7",2,4.83
"2013-3-8",3,14.22
"2013-3-9",7,0
"2013-3-10",6,0
"2013-3-11",8,0
"2013-3-12",10,20.07
"2013-3-13",7,0
"2013-3-14",2,0
"2013-3-15",4,0
"2013-3-16",3,3.05
"2013-3-17",1,0
"2013-3-18",0,15.24
"2013-3-19",3,9.14
"2013-3-20",4,0
"2013-3-21",2,0
"2013-3-22",2,0
"2013-3-23",4,0
"2013-3-24",4,0
"2013-3-25",3,4.32
"2013-3-26",7,0
"2013-3-27",7,0
"2013-3-28",7,0
"2013-3-29",9,0
"2013-3-30",10,0
"2013-3-31",9,2.03
"2013-4-1",10,0
"2013-4-2",3,0
"2013-4-3",4,0
"2013-4-4",6,0
"2013-4-5",12,0
"2013-4-6",7,0
"2013-4-7",9,0
"2013-4-8",17,0
"2013-4-9",19,0
"2013-4-10",18,12.45
"2013-4-11",12,0
"2013-4-12",7,16
"2013-4-13",10,0.25
"2013-4-14",11,0
"2013-4-15",11,0
"2013-4-16",13,0
